KAYIT SIRA,ENDEKS KODU,ENDEKSLER,ENDEKSLERIN INGILIZCE ISIMLERI,KUR TURU,TARIH,KAPANIS,ACILIS,EN DUSUK,EN YUKSEK
123,XFINK_CFNPTLER,BIST FIN. KIR. FAKTORING (EURO),BIST LEASING FACTORING (EURO),EUR,30/10/2020,591.18,591.18,591.18,591.18
124,XHOLD,BIST HOLDING VE YATIRIM,BIST HOLD. AND INVESTMENT,TRY,30/10/2020,958.03,956.71,942.55,964.46
125,XHOLD_CFNPTLUS,BIST HOLDING VE YATIRIM (ABD DOLARI),BIST HOLD. AND INVESTMENT (USD),USD,30/10/2020,671.01,671.01,671.01,671.01
126,XHOLD_CFNPTLER,BIST HOLDING VE YATIRIM (EURO),BIST HOLD. AND INVESTMENT (EURO),EUR,30/10/2020,673.68,673.68,673.68,673.68
127,XGMYO,BIST GAYRIMENKUL Y.O.,BIST REAL EST. INV. TRUSTS,TRY,30/10/2020,543.91,540.54,535.38,550.19
128,XGMYO_CFNPTLUS,BIST GAYRIMENKUL Y.O. (ABD DOLARI),BIST REAL EST. INV. TRUSTS (USD),USD,30/10/2020,380.96,380.96,380.96,380.96
129,XGMYO_CFNPTLER,BIST GAYRIMENKUL Y.O. (EURO),BIST REAL EST. INV. TRUSTS (EURO),EUR,30/10/2020,382.47,382.47,382.47,382.47
130,XAKUR,BIST ARACI KURUMLAR,BIST BROKERAGE HOUSES,TRY,30/10/2020,3473.89,3402.85,3324.59,3473.89
131,XAKUR_CFNPTLUS,BIST ARACI KURUMLAR (ABD DOLARI),BIST BROKERAGE HOUSES (USD),USD,30/10/2020,2433.13,2433.13,2433.13,2433.13
132,XAKUR_CFNPTLER,BIST ARACI KURUMLAR (EURO),BIST BROKERAGE HOUSES (EURO),EUR,30/10/2020,2442.82,2442.82,2442.82,2442.82
133,XYORT,BIST MENKUL KIYM. Y.O.,BIST INVESTMENT TRUSTS,TRY,30/10/2020,1198.09,1200.36,1176.98,1214.13
134,XYORT_CFNPTLUS,BIST MENKUL KIYM. Y.O. (ABD DOLARI),BIST INVESTMENT TRUSTS (USD),USD,30/10/2020,839.15,839.15,839.15,839.15
135,XYORT_CFNPTLER,BIST MENKUL KIYM. Y.O. (EURO),BIST INVESTMENT TRUSTS (EURO),EUR,30/10/2020,842.49,842.49,842.49,842.49
136,XUTEK,BIST TEKNOLOJI,BIST TECHNOLOGY,TRY,30/10/2020,1704.73,1733.35,1694.78,1735.54
137,XUTEK_CFNPTLUS,BIST TEKNOLOJI (ABD DOLARI),BIST TECHNOLOGY (USD),USD,30/10/2020,1194,1194,1194,1194
138,XUTEK_CFNPTLER,BIST TEKNOLOJI (EURO),BIST TECHNOLOGY (EURO),EUR,30/10/2020,1198.76,1198.76,1198.76,1198.76
139,XTKJS,BIST TEKNOLOJI AGIRLIK SINIRLAMALI,BIST TECHNOLOGY CAPPED,TRY,30/10/2020,2253.27,2283.96,2246.54,2303.53
140,XTKJS_CFCPTLUS,BIST TEKNOLOJI AGIRLIK SINIRLAMALI (ABD DOLARI),BIST TECHNOLOGY CAPPED (USD),USD,30/10/2020,1578.2,1578.2,1578.2,1578.2
141,XTKJS_CFCPTLER,BIST TEKNOLOJI AGIRLIK SINIRLAMALI (EURO),BIST TECHNOLOGY CAPPED (EURO),EUR,30/10/2020,1584.49,1584.49,1584.49,1584.49
142,XBLSM,BIST BILISIM,BIST INF. TECHNOLOGY,TRY,30/10/2020,630.63,638.07,628.88,646.07
143,XBLSM_CFNPTLUS,BIST BILISIM (ABD DOLARI),BIST INF. TECHNOLOGY (USD),USD,30/10/2020,441.7,441.7,441.7,441.7
144,XBLSM_CFNPTLER,BIST BILISIM (EURO),BIST INF. TECHNOLOGY (EURO),EUR,30/10/2020,443.46,443.46,443.46,443.46
145,XSADA,BIST ADANA,BIST ADANA,TRY,30/10/2020,4763.23,4857.85,4754,4897.99
146,XSADA_CFNPTLUS,BIST ADANA (ABD DOLARI),BIST ADANA (USD),USD,30/10/2020,3336.19,3336.19,3336.19,3336.19
147,XSADA_CFNPTLER,BIST ADANA (EURO),BIST ADANA (EURO),EUR,30/10/2020,3349.48,3349.48,3349.48,3349.48
148,XSANK,BIST ANKARA,BIST ANKARA,TRY,30/10/2020,1993.23,2009.21,1970.82,2015.65
149,XSANK_CFNPTLUS,BIST ANKARA (ABD DOLARI),BIST ANKARA (USD),USD,30/10/2020,1396.07,1396.07,1396.07,1396.07
150,XSANK_CFNPTLER,BIST ANKARA (EURO),BIST ANKARA (EURO),EUR,30/10/2020,1401.63,1401.63,1401.63,1401.63
151,XSANT,BIST ANTALYA,BIST ANTALYA,TRY,30/10/2020,1703.71,1690.35,1644.53,1747.92
152,XSANT_CFNPTLUS,BIST ANTALYA (ABD DOLARI),BIST ANTALYA (USD),USD,30/10/2020,1193.29,1193.29,1193.29,1193.29
153,XSANT_CFNPTLER,BIST ANTALYA (EURO),BIST ANTALYA (EURO),EUR,30/10/2020,1198.04,1198.04,1198.04,1198.04
154,XSBAL,BIST BALIKESIR,BIST BALIKESIR,TRY,30/10/2020,1522.61,1520.7,1492.05,1541.43
155,XSBAL_CFNPTLUS,BIST BALIKESIR (ABD DOLARI),BIST BALIKESIR (USD),USD,30/10/2020,1066.44,1066.44,1066.44,1066.44
156,XSBAL_CFNPTLER,BIST BALIKESIR (EURO),BIST BALIKESIR (EURO),EUR,30/10/2020,1070.69,1070.69,1070.69,1070.69
157,XSBUR,BIST BURSA,BIST BURSA,TRY,30/10/2020,3199.78,3141.33,3110.11,3256.56
158,XSBUR_CFNPTLUS,BIST BURSA (ABD DOLARI),BIST BURSA (USD),USD,30/10/2020,2241.14,2241.14,2241.14,2241.14
159,XSBUR_CFNPTLER,BIST BURSA (EURO),BIST BURSA (EURO),EUR,30/10/2020,2250.07,2250.07,2250.07,2250.07
